council,website,seed_url,selected_for_search
Adur District Council,https://www.adur-worthing.gov.uk/,https://www.adur-worthing.gov.uk/about-the-councils/senior-management-structure/,yes
Amber Valley Borough Council,https://www.ambervalley.gov.uk/,https://www.ambervalley.gov.uk/,yes
Arun District Council,https://www.arun.gov.uk/,https://www.arun.gov.uk/our-management-teams,yes
Ashfield District Council,https://www.ashfield.gov.uk/,https://www.ashfield.gov.uk/your-council/councillors-council-meetings-and-governance/organisational-structure/,yes
Ashford Borough Council,https://www.ashford.gov.uk/,https://www.ashford.gov.uk/transparency/our-people/leadership-team/,yes
Babergh District Council,https://www.babergh.gov.uk/,https://www.babergh.gov.uk/,yes
Barnsley Borough Council,https://www.barnsley.gov.uk/,https://www.barnsley.gov.uk/services/council-and-democracy/council-structure-and-leadership-team/,yes
Basildon Borough Council,https://www.basildon.gov.uk/,https://www3.basildon.gov.uk/jobs/Head%20of%20Housing%20Services%20docs/Basildon%20Borough%20Council%20Structure.pdf,yes
Basingstoke and Deane Borough Council,,,yes
Bassetlaw District Council,,,yes
Bath and North East Somerset Council,,,yes
Bedford Borough Council,,,yes
Birmingham City Council,,,yes
Blaby District Council,,,yes
Blackburn with Darwen Council,,,yes
Blackpool Council,,,yes
Bolsover District Council,,,yes
Bolton Borough Council,,,yes
Boston Borough Council,,,yes
"Bournemouth, Christchurch and Poole Council",,,yes
Bracknell Forest Council,,,yes
Bradford City Council,,,yes
Braintree District Council,,,yes
Breckland District Council,,,yes
Brentwood Borough Council,,,yes
Brighton and Hove City Council,,,yes
Bristol City Council,,,yes
Broadland District Council,,,yes
Bromsgrove District Council,,,yes
Broxbourne Borough Council,,,yes
Broxtowe Borough Council,,,yes
Buckinghamshire Council,,,yes
Burnley Borough Council,,,yes
Bury Borough Council,,,yes
Calderdale Borough Council,,,yes
Cambridge City Council,,,yes
Cambridgeshire County Council,,,yes
Cannock Chase District Council,,,yes
Canterbury City Council,,,yes
Castle Point Borough Council,,,yes
Central Bedfordshire Council,,,yes
Charnwood Borough Council,,,yes
Chelmsford City Council,,,yes
Cheltenham Borough Council,,,yes
Cherwell District Council,,,yes
Cheshire East Council,,,yes
Cheshire West and Chester Council,,,yes
Chesterfield Borough Council,,,yes
Chichester District Council,,,yes
Chorley Council,,,yes
City of London Corporation,,,yes
City of York Council,,,yes
Colchester City Council,,,yes
Cornwall Council,,,yes
Cotswold District Council,,,yes
Coventry City Council,,,yes
Crawley Borough Council,,,yes
Cumberland Council,,,yes
Dacorum Borough Council,,,yes
Darlington Borough Council,,,yes
Dartford Borough Council,,,yes
Derby City Council,,,yes
Derbyshire County Council,,,yes
Derbyshire Dales District Council,,,yes
Devon County Council,,,yes
Doncaster Borough Council,,,yes
Dorset Council,,,yes
Dover District Council,,,yes
Dudley City Council,,,yes
Durham County Council,,,yes
East Cambridgeshire District Council,,,yes
East Devon District Council,,,yes
East Hampshire District Council,,,yes
East Hertfordshire District Council,,,yes
East Lindsey District Council,,,yes
East Riding of Yorkshire Council,,,yes
East Staffordshire Borough Council,,,yes
East Suffolk Council,,,yes
East Sussex County Council,,,yes
Eastbourne Borough Council,,,yes
Eastleigh Borough Council,,,yes
Elmbridge Borough Council,,,yes
Epping Forest District Council,,,yes
Epsom and Ewell Borough Council,,,yes
Erewash Borough Council,,,yes
Essex County Council,,,yes
Exeter City Council,,,yes
