council,primary_source,secondary_source,tertiary_source
Adur District Council,https://www.adur-worthing.gov.uk/about-the-councils/senior-management-structure/,https://www.adur-worthing.gov.uk/media/Media%2C100071%2Csmxx.pdf,https://www.adur-worthing.gov.uk/media/Media%2C170586%2Csmxx.pdf
Amber Valley Borough Council,https://www.ambervalley.gov.uk/contact-us/key-manager-contacts/,https://www.ambervalley.gov.uk/,
Arun District Council,https://www.arun.gov.uk/our-management-teams,https://www.arun.gov.uk/constitution,
Ashfield District Council,https://www.ashfield.gov.uk/your-council/councillors-council-meetings-and-governance/organisational-structure/,https://www.ashfield.gov.uk/media/my3puoqp/anti-fraud-corruption-policy-oct-2017-a11y.pdf,
Ashford Borough Council,https://www.ashford.gov.uk/transparency/our-people/leadership-team/chief-executive/,https://www.ashford.gov.uk/transparency/our-people/leadership-team/solicitor-to-the-council-and-monitoring-officer/,https://www.ashford.gov.uk/transparency/our-people/leadership-team/deputy-chief-executive/
Babergh District Council,https://www.babergh.gov.uk/web/mid-suffolk/chief-executive-senior-leadership-team,https://www.babergh.gov.uk/about-the-council,
Barnsley Borough Council,https://www.barnsley.gov.uk/services/council-and-democracy/council-structure-and-leadership-team/,https://www.barnsley.gov.uk/media/ng2j15fz/final-ags-2022-2023-published.pdf,https://www.barnsley.gov.uk/media/20vik2yg/draft-annual-governance-statement-2023-2024.pdf
Basildon Borough Council,https://www3.basildon.gov.uk/jobs/jd/Whistleblowing%20Procedure.pdf,https://www.basildon.gov.uk/,
London Borough of Barking and Dagenham,https://www.lbbd.gov.uk/council-and-democracy/performance-and-spending/council-structure,https://www.lbbd.gov.uk/sites/default/files/2025-07/LBBD%20SoA%202024-25%20FINAL.pdf,
London Borough of Barnet,https://www.barnet.gov.uk/your-council/barnet-council-management-structure,https://barnet.moderngov.co.uk/documents/s86906/Article%2007%20-%20Officers.pdf,
